rho	e	dif	type
0	0	0.00337789109575158	Method 1
0	0	0.0113691892296072	Method 1
0	0	-0.0125673723778273	Method 1
0	0	0.0155834134733997	Method 1
0	0	0.0325461992718921	Method 1
0	0	0.035748705044089	Method 1
0	0	-0.0117228579273455	Method 1
0	0	-0.0511770777141313	Method 1
0	0	0.0343121042753177	Method 1
0	0	-0.0748429059319859	Method 1
0	0	0.0410385751768752	Method 1
0	0	-0.00369419961916762	Method 1
0	0	0.014556030814994	Method 1
0	0	0.0159114907889506	Method 1
0	0	0.0647314610504336	Method 1
0	0	-0.0229036785330722	Method 1
0	0	-0.00917111166333866	Method 1
0	0	0.0537995728618366	Method 1
0	0	-0.0356736319065976	Method 1
0	0	0.0650865662334592	Method 1
0	0	0.00875484989438038	Method 1
0	0	0.0684007397970394	Method 1
0	0	-0.0121841216123855	Method 1
0	0	0.0810309105052329	Method 1
0	0	0.0340098881637453	Method 1
0	0	-0.0298508646441391	Method 1
0	0	-0.00714086176102597	Method 1
0	0	-0.0359983444137714	Method 1
0	0	-0.0200311219961566	Method 1
0	0	0.0407832417581639	Method 1
0	0	-0.0239812869579501	Method 1
0	0	0.0566606785367073	Method 1
0	0	-0.0408711940478034	Method 1
0	0	0.0301598225167755	Method 1
0	0	-0.0532967019878557	Method 1
0	0	-0.0191625173124366	Method 1
0	0	0.00559436781296325	Method 1
0	0	-0.023910893568541	Method 1
0	0	-0.0273635828384117	Method 1
0	0	-0.0377086922151761	Method 1
0	0	-0.00617737815877875	Method 1
0	0	-0.0312695093063046	Method 1
0	0	-0.0241732133419275	Method 1
0	0	0.00052823251728174	Method 1
0	0	-0.0282188634692804	Method 1
0	0	0.0650865662334592	Method 1
0	0	0.0390808478381447	Method 1
0	0	-0.0286669223249192	Method 1
0	0	-0.0330873655146526	Method 1
0	0	0.017622387704834	Method 1
0	0	-0.0121071535539075	Method 1
0	0	-0.0591033832316075	Method 1
0	0	-0.018746546278515	Method 1
0	0	0.00546219323972546	Method 1
0	0	-0.00788833999938986	Method 1
0	0	-0.0203539821570157	Method 1
0	0	0.0280811292725729	Method 1
0	0	0.0467536577614417	Method 1
0	0	-0.0446525782745208	Method 1
0	0	0.013184545210122	Method 1
0	0	0.0656827305748582	Method 1
0	0	0.0356614679418049	Method 1
0	0	0.0191930364000795	Method 1
0	0	0.0353476266627697	Method 1
0	0	0.0282041801736201	Method 1
0	0	0.000112052169661735	Method 1
0	0	-0.0207558317769658	Method 1
0	0	-0.0586640576772102	Method 1
0	0	0.0393079312057041	Method 1
0	0	0.0045714794784588	Method 1
0	0	0.0408454769663572	Method 1
0	0	0.000135680491910534	Method 1
0	0	0.00388408727583071	Method 1
0	0	-0.0364977924221109	Method 1
0	0	-0.0236060352743559	Method 1
0	0	-0.0117283169508085	Method 1
0	0	0.0352909838423316	Method 1
0	0	0.016394740164567	Method 1
0	0	0.0389113449534968	Method 1
0	0	0.0411105943190503	Method 1
0	0	-0.0298634029434063	Method 1
0	0	-0.0197163130285107	Method 1
0	0	-0.00153866748586296	Method 1
0	0	0.0172265065450418	Method 1
0	0	0.0147127860325687	Method 1
0	0	-0.0345533372016967	Method 1
0	0	0.0474271871356161	Method 1
0	0	-0.0372733306426888	Method 1
0	0	-0.0227105912580223	Method 1
0	0	0.039343600196527	Method 1
0	0	0.00255093823994287	Method 1
0	0	0.000937263519161359	Method 1
0	0	0.0538712066047929	Method 1
0	0	0.0638770959431668	Method 1
0	0	0.00299205947231609	Method 1
0	0	-0.00795872407567213	Method 1
0	0	0.0280811292725729	Method 1
0	0	-0.0407023734826819	Method 1
0	0	0.00135234847646062	Method 1
0	0	0.0557037003124514	Method 1
0	0	-0.0139818708298506	Method 1
0	0	0.0278355769896704	Method 1
0	0	0.00822508216690957	Method 1
0	0	0.0404020640397372	Method 1
0	0	-0.0167204709916317	Method 1
0	0	0.030326323353453	Method 1
0	0	0.0112218806746716	Method 1
0	0	-0.0525790449125837	Method 1
0	0	-0.00500870145092681	Method 1
0	0	0.0388651634716135	Method 1
0	0	0.0179026437208272	Method 1
0	0	-0.0390658153092647	Method 1
0	0	-0.0267861917762839	Method 1
0	0	-0.0202954648744847	Method 1
0	0	-0.014363644098707	Method 1
0	0	-0.0132789895088803	Method 1
0	0	0.00856743894854432	Method 1
0	0	0.0173077602239504	Method 1
0	0	0.00358519938063852	Method 1
0	0	-0.0071889961324295	Method 1
0	0	0.0174923907988589	Method 1
0	0	-0.0142516953864881	Method 1
0	0	0.0355649170790074	Method 1
0	0	-0.0278038663395093	Method 1
0	0	-0.051396111295535	Method 1
0	0	-0.00475243604539036	Method 1
0	0	0.00896415175914465	Method 1
0	0	0.0706057076122571	Method 1
0	0	0.0127954772032923	Method 1
0	0	0.0300345197648331	Method 1
0	0	0.0873349906408837	Method 1
0	0	0.0243228143821043	Method 1
0	0	0.0179068007450742	Method 1
0	0	-0.0649372681903159	Method 1
0	0	0.0366856804534515	Method 1
0	0	0.00699949334977907	Method 1
0	0	-0.0209774238698422	Method 1
0	0	-0.0131019561731947	Method 1
0	0	-0.0370242194977143	Method 1
0	0	0.0606875017566397	Method 1
0	0	-0.0001537043051916	Method 1
0	0	-0.0215313420031108	Method 1
0	0	0.00231176955115797	Method 1
0	0	0.0138500234137331	Method 1
0	0	-0.0576682154672235	Method 1
0	0	0.0535464338793943	Method 1
0	0	-0.0686440062574825	Method 1
0	0	-0.0305038683127194	Method 1
0	0	-0.0272666717027667	Method 1
0	0	-0.0366306468331872	Method 1
0	0	0.0166331387900805	Method 1
0	0	-0.0369143635982314	Method 1
0	0	0.0573293872351546	Method 1
0	0	0.0198420699032888	Method 1
0	0	0.0510465076968646	Method 1
0	0	0.0274890490428534	Method 1
0	0	0.0349070047518955	Method 1
0	0	0.0439411527594843	Method 1
0	0	-0.0651606968000531	Method 1
