rho	e	dif	type
0	0	-0.0319113381765075	Method 1
0	0	0.0814186417261988	Method 1
0	0	-0.013053705362707	Method 1
0	0	-0.0643634889866803	Method 1
0	0	0.0309157736417993	Method 1
0	0	-0.0173169065538001	Method 1
0	0	0.0184151616016818	Method 1
0	0	0.0471526402585355	Method 1
0	0	0.0250172331997585	Method 1
0	0	0.0471526402585355	Method 1
0	0	-0.00525634822856052	Method 1
0	0	0.00344319775761576	Method 1
0	0	0.0162512287112859	Method 1
0	0	0.00388306296951326	Method 1
0	0	0.00550358825661043	Method 1
0	0	0.0415824031726012	Method 1
0	0	0.0343634866936524	Method 1
0	0	0.00527155516449195	Method 1
0	0	-0.0647740157478661	Method 1
0	0	0.0403291718118416	Method 1
0	0	0.0371177416244601	Method 1
0	0	-0.0103401028761032	Method 1
0	0	-0.0319156903491792	Method 1
0	0	0.000742558900913085	Method 1
0	0	-0.0358507634922943	Method 1
0	0	0.00587456140658237	Method 1
0	0	0.0735063460478661	Method 1
0	0	0.0171375740836549	Method 1
0	0	-0.0520679501118931	Method 1
0	0	-0.0102299628636632	Method 1
0	0	0.0403728950235349	Method 1
0	0	0.0078120902869803	Method 1
0	0	-0.0317818520923434	Method 1
0	0	-0.0115119629355965	Method 1
0	0	-0.0585723210025366	Method 1
0	0	-0.0415437053911537	Method 1
0	0	0.0562919011624682	Method 1
0	0	-0.00928194800420137	Method 1
0	0	0.00989681584250351	Method 1
0	0	0.0367484295791494	Method 1
0	0	-0.0324519904980842	Method 1
0	0	-0.0214244350870195	Method 1
0	0	0.0160878588623956	Method 1
0	0	-0.0714541677785435	Method 1
0	0	-0.0103952025824699	Method 1
0	0	-0.0351765362668321	Method 1
0	0	-0.00470875730972215	Method 1
0	0	-0.0278506364637457	Method 1
0	0	0.0394282826789674	Method 1
0	0	0.0029294020235966	Method 1
0	0	0.00666065194563861	Method 1
0	0	0.021791194638808	Method 1
0	0	-0.0122340920878161	Method 1
0	0	-0.000220655729381898	Method 1
0	0	0.0262398846160052	Method 1
0	0	-0.0336510253368384	Method 1
0	0	-0.0242719658078545	Method 1
0	0	0.00175465897485751	Method 1
0	0	0.0287583266156913	Method 1
0	0	0.0018871998422619	Method 1
0	0	0.000858999578794558	Method 1
0	0	0.0555693567693338	Method 1
0	0	0.0386456675340053	Method 1
0	0	-0.0115017635167688	Method 1
0	0	0.0244423885907328	Method 1
0	0	0.0538705676863936	Method 1
0	0	0.0218670538594777	Method 1
0	0	0.0171251660122654	Method 1
0	0	-0.047385522902245	Method 1
0	0	-0.0103612954921886	Method 1
0	0	0.0399304709260402	Method 1
0	0	0.0361602871919749	Method 1
0	0	0.0234997175828999	Method 1
0	0	-0.0252685296959196	Method 1
0	0	-0.0345392465302137	Method 1
0	0	-0.00125777439809105	Method 1
0	0	-0.0145279697039448	Method 1
0	0	-0.060066317676616	Method 1
0	0	0.0328172596484633	Method 1
0	0	-0.0599544422904806	Method 1
0	0	0.00527155516449195	Method 1
0	0	-0.0284144156550997	Method 1
0	0	-0.0393244923654801	Method 1
0	0	-0.00207644824858431	Method 1
0	0	0.0407026029986987	Method 1
0	0	-0.0150589400050698	Method 1
0	0	0.00616322151102102	Method 1
0	0	-0.0162488003419918	Method 1
0	0	-0.021862794449727	Method 1
0	0	-0.0661251388215714	Method 1
0	0	-0.023001997945666	Method 1
0	0	0.00968658578452604	Method 1
0	0	0.00824948746013904	Method 1
0	0	0.00415093386277927	Method 1
0	0	0.00880187824291934	Method 1
0	0	0.0233836689972674	Method 1
0	0	0.0336028107477966	Method 1
0	0	-0.0246121352610645	Method 1
0	0	-0.0397784024862615	Method 1
0	0	-0.00744413929600527	Method 1
0	0	-0.00421944576834743	Method 1
0	0	-0.0430887270145774	Method 1
0	0	0.00720324066170992	Method 1
0	0	-0.0107277954295703	Method 1
0	0	-0.057716278299148	Method 1
0	0	0.0248300725493432	Method 1
0	0	0.0664486688789502	Method 1
0	0	-0.00832187596510787	Method 1
