rho	e	dif	type
0	0	0.0326400882123264	Method 1
0	0	-0.00398200151130948	Method 1
0	0	0.00724936057725569	Method 1
0	0	0.0553355357884976	Method 1
0	0	0.0405087744330233	Method 1
0	0	0.0236741418738073	Method 1
0	0	-0.0261870306811688	Method 1
0	0	0.0390143365632161	Method 1
0	0	0.00871717849938047	Method 1
0	0	-0.0409303676008477	Method 1
0	0	0.0598714313798388	Method 1
0	0	-0.00944567023880921	Method 1
0	0	0.0081557160613006	Method 1
0	0	-0.0106701225252901	Method 1
0	0	0.0193474191809527	Method 1
0	0	-0.00398200151130948	Method 1
0	0	-0.00267241373197395	Method 1
0	0	-0.0766391529618513	Method 1
0	0	-0.0428591665500848	Method 1
0	0	-0.00613706241948751	Method 1
0	0	-0.0154768716664198	Method 1
0	0	0.0100316939365952	Method 1
0	0	0.0387932428823511	Method 1
0	0	0.0141505139435873	Method 1
0	0	-0.0274094411057008	Method 1
0	0	-0.0208697452095303	Method 1
0	0	0.0655235553809508	Method 1
0	0	-0.0129714190160854	Method 1
0	0	-0.0294213167720489	Method 1
0	0	0.00606822910041497	Method 1
0	0	0.0482174102430823	Method 1
0	0	-0.00048898088239094	Method 1
0	0	-0.00884681453876929	Method 1
0	0	0.0274193584455645	Method 1
0	0	0.0149338688401103	Method 1
0	0	-0.0303948530484362	Method 1
0	0	-0.0407067168728941	Method 1
0	0	-0.0464575935808558	Method 1
0	0	0.0123959684915498	Method 1
0	0	0.0198858322659523	Method 1
0	0	0.0018985650329534	Method 1
0	0	0.07286822453771	Method 1
0	0	0.00858338524734352	Method 1
0	0	-0.0058523389205833	Method 1
0	0	-0.070620660892899	Method 1
0	0	-0.0390912892727663	Method 1
0	0	-0.053769496266114	Method 1
0	0	-0.053769496266114	Method 1
0	0	0.00874605937392696	Method 1
0	0	0.01104415305073	Method 1
0	0	-0.00893816221421325	Method 1
0	0	-0.00746740841235083	Method 1
0	0	0.00503411724446407	Method 1
0	0	0.0235940055247289	Method 1
0	0	-0.00343163375142865	Method 1
0	0	0.051611618422129	Method 1
0	0	-0.0520580243921975	Method 1
0	0	-0.0181909282103862	Method 1
0	0	-0.0283378809755193	Method 1
0	0	0.0231290141544805	Method 1
0	0	0.0163708309207396	Method 1
0	0	0.0369435796333826	Method 1
0	0	-0.0262417994704517	Method 1
0	0	0.0454935186851323	Method 1
0	0	-0.0315161222186263	Method 1
0	0	0.0185876530957922	Method 1
0	0	-0.0404554834282412	Method 1
0	0	-0.0128690760038217	Method 1
0	0	-0.005674351864088	Method 1
0	0	-0.00178657233292938	Method 1
0	0	-0.0366560177895018	Method 1
0	0	0.04601773540925	Method 1
