rho	e	dif	type
0	0	-0.0249048074071753	Method 1
0	0	-0.0106359678414516	Method 1
0	0	0.0670078663844095	Method 1
0	0	-0.00806527570183928	Method 1
0	0	0.0180540558249353	Method 1
0	0	-0.0525256997336558	Method 1
0	0	-0.00933888662315896	Method 1
0	0	-0.0328514298032338	Method 1
0	0	0.0132313741090463	Method 1
0	0	-0.0320173353214178	Method 1
0	0	-0.0417456623621972	Method 1
0	0	-0.039532425263965	Method 1
0	0	-0.0577457446249698	Method 1
0	0	0.00138703282615179	Method 1
0	0	-0.0466042951913101	Method 1
0	0	0.0127359117119303	Method 1
0	0	0.0302798370434052	Method 1
0	0	0.0058322893588768	Method 1
0	0	0.0122990992914611	Method 1
0	0	0.0795701521127542	Method 1
0	0	-0.0394820042923039	Method 1
0	0	0.0110524298157721	Method 1
0	0	-0.00666491161776702	Method 1
0	0	-0.0384486183001199	Method 1
0	0	0.054961683567839	Method 1
0	0	0.0161116895558366	Method 1
0	0	0.0135415533651761	Method 1
0	0	0.0119933545322534	Method 1
0	0	-0.0342937445681214	Method 1
0	0	0.0182023628594057	Method 1
0	0	0.00739503520080904	Method 1
0	0	-0.0466776272067097	Method 1
0	0	-0.0444975003737915	Method 1
0	0	0.0259520584937528	Method 1
0	0	-0.00182356001263947	Method 1
0	0	0.00819803551579818	Method 1
0	0	-0.00159570613749604	Method 1
0	0	0.000891453905611053	Method 1
0	0	-0.00857819341208568	Method 1
0	0	-0.0133861456189552	Method 1
0	0	0.0140779112028926	Method 1
0	0	-0.0271102002119697	Method 1
0	0	-0.0165790440514571	Method 1
0	0	-0.00292117343921714	Method 1
0	0	0.0336486382369663	Method 1
0	0	-0.0171815947004121	Method 1
0	0	-0.0292062917079767	Method 1
0	0	0.000440241301725307	Method 1
0	0	-0.0301130571176614	Method 1
0	0	-0.019154907565623	Method 1
0	0	-0.0261274876550707	Method 1
0	0	-0.0365517354788283	Method 1
0	0	0.00896209127988348	Method 1
0	0	-0.0325954813741005	Method 1
0	0	0.00103184446898504	Method 1
0	0	-0.0137004477563993	Method 1
0	0	-0.00987642284483785	Method 1
0	0	-0.0209572848966765	Method 1
0	0	0.0200230606477611	Method 1
0	0	-0.00361147838796136	Method 1
0	0	0.0432269281803566	Method 1
0	0	-0.0506073509762289	Method 1
0	0	-0.00654890730358098	Method 1
0	0	-0.0816701165094195	Method 1
0	0	0.0201309932194255	Method 1
0	0	0.0058322893588768	Method 1
0	0	-0.0166960246659781	Method 1
0	0	-0.00681302583291754	Method 1
0	0	0.0309193041783365	Method 1
0	0	-0.0602034336943894	Method 1
0	0	-0.0411008719655974	Method 1
0	0	-0.0320878368580593	Method 1
0	0	-0.00477274011681507	Method 1
0	0	-0.000836449441347825	Method 1
0	0	-0.0614553354467099	Method 1
