rho	e	Marginal pval	Multivariate pval	type
0	0.1	0.588144	0.0003577078	Nonadmixed Indep
0	0.1	0.0223228	3.726443e-05	Nonadmixed Indep
0	0.1	0.0631068	0.0002067226	Nonadmixed Indep
0	0.1	0.00229164	4.640112e-06	Nonadmixed Indep
0	0.1	0.0103919	0.003538771	Nonadmixed Indep
0	0.1	0.002064	0.0006029715	Nonadmixed Indep
0	0.1	0.039589	0.005367454	Nonadmixed Indep
0	0.1	0.00237929	0.0004694898	Nonadmixed Indep
0	0.1	0.0011661	0.004432751	Nonadmixed Indep
0	0.1	4.77506e-05	4.015544e-08	Nonadmixed Indep
0	0.1	0.275399	0.0002693627	Nonadmixed Indep
0	0.1	0.0693507	0.009138695	Nonadmixed Indep
0	0.1	0.0226673	6.699836e-08	Nonadmixed Indep
0	0.1	0.900747	0.09441365	Nonadmixed Indep
0	0.1	0.254891	0.003548613	Nonadmixed Indep
0	0.1	0.0229226	0.02384716	Nonadmixed Indep
0	0.1	0.486393	0.02316037	Nonadmixed Indep
0	0.1	0.128337	0.0001134204	Nonadmixed Indep
0	0.1	5.65824e-05	0.0001547377	Nonadmixed Indep
0	0.1	0.00805714	0.001421658	Nonadmixed Indep
0	0.1	0.000404421	8.016864e-09	Nonadmixed Indep
0	0.1	0.00155619	0.001880485	Nonadmixed Indep
0	0.1	0.0578576	0.01061421	Nonadmixed Indep
0	0.1	0.384906	8.072948e-05	Nonadmixed Indep
0	0.1	0.007875	4.256118e-06	Nonadmixed Indep
0	0.1	0.00394552	6.048453e-06	Nonadmixed Indep
0	0.1	0.0222528	0.016193	Nonadmixed Indep
0	0.1	0.475571	0.01624711	Nonadmixed Indep
0	0.1	0.0221258	9.548035e-05	Nonadmixed Indep
0	0.1	0.171456	0.001819584	Nonadmixed Indep
0	0.1	0.0950206	0.1250975	Nonadmixed Indep
0	0.1	0.318927	0.02321141	Nonadmixed Indep
0	0.1	0.0159571	6.261013e-05	Nonadmixed Indep
0	0.1	0.0243908	0.002980498	Nonadmixed Indep
0	0.1	0.625129	8.127178e-09	Nonadmixed Indep
0	0.1	0.0602918	0.07120406	Nonadmixed Indep
0	0.1	0.750282	0.06782562	Nonadmixed Indep
0	0.1	0.0259433	0.005725618	Nonadmixed Indep
0	0.1	0.42176	0.3970873	Nonadmixed Indep
0	0.1	0.003813	2.312746e-06	Nonadmixed Indep
0	0.1	0.000748142	9.416414e-07	Nonadmixed Indep
0	0.1	0.0161666	0.01586504	Nonadmixed Indep
0	0.1	0.124346	0.0001790892	Nonadmixed Indep
0	0.1	0.994326	0.0002278647	Nonadmixed Indep
0	0.1	0.013468	0.0007820729	Nonadmixed Indep
0	0.1	0.115268	0.001747369	Nonadmixed Indep
0	0.1	0.0945404	0.001207016	Nonadmixed Indep
0	0.1	0.0915882	7.026891e-05	Nonadmixed Indep
0	0.1	0.234262	0.06648387	Nonadmixed Indep
0	0.1	0.138701	0.02047156	Nonadmixed Indep
0	0.1	0.0059987	0.0001870178	Nonadmixed Indep
0	0.1	0.0912921	0.01041098	Nonadmixed Indep
0	0.1	0.461297	1.652165e-06	Nonadmixed Indep
0	0.1	0.0612332	0.01949973	Nonadmixed Indep
0	0.1	0.560458	0.1519431	Nonadmixed Indep
0	0.1	0.11195	0.0003435524	Nonadmixed Indep
0	0.1	0.0285358	6.419086e-05	Nonadmixed Indep
0	0.1	0.0839657	9.559535e-09	Nonadmixed Indep
0	0.1	0.101695	2.287721e-05	Nonadmixed Indep
0	0.1	0.00748436	0.0008448467	Nonadmixed Indep
0	0.1	0.0560618	0.000284769	Nonadmixed Indep
0	0.1	0.0177986	0.002418586	Nonadmixed Indep
0	0.1	0.0142416	0.007362012	Nonadmixed Indep
0	0.1	0.106025	0.03335924	Nonadmixed Indep
0	0.1	9.56428e-05	9.362074e-06	Nonadmixed Indep
0	0.1	0.929276	0.003722501	Nonadmixed Indep
0	0.1	0.155567	0.07185195	Nonadmixed Indep
0	0.1	0.177315	0.0002880402	Nonadmixed Indep
0	0.1	0.0161021	0.01972641	Nonadmixed Indep
0	0.1	0.705422	0.006353242	Nonadmixed Indep
0	0.1	0.168124	0.003479241	Nonadmixed Indep
0	0.1	0.0479428	0.0004712677	Nonadmixed Indep
0	0.1	0.0577661	0.0008038447	Nonadmixed Indep
0	0.1	0.113318	0.03982627	Nonadmixed Indep
0	0.1	7.04131e-05	7.418621e-08	Nonadmixed Indep
0	0.1	0.239127	0.1509402	Nonadmixed Indep
0	0.1	0.0921991	0.07612775	Nonadmixed Indep
0	0.1	0.000423958	0.0002247929	Nonadmixed Indep
0	0.1	0.00397264	0.001196432	Nonadmixed Indep
0	0.1	0.127333	0.00422082	Nonadmixed Indep
0	0.1	0.0209184	6.050651e-05	Nonadmixed Indep
0	0.1	0.0169792	0.0005585631	Nonadmixed Indep
0	0.1	0.0123318	0.00030528	Nonadmixed Indep
0	0.1	0.0343199	0.0112331	Nonadmixed Indep
0	0.1	0.00257978	0.001453353	Nonadmixed Indep
0	0.1	0.885329	0.0001044905	Nonadmixed Indep
0	0.1	0.00685722	0.000599896	Nonadmixed Indep
0	0.1	0.000184228	1.409026e-08	Nonadmixed Indep
0	0.1	0.0882409	0.06552219	Nonadmixed Indep
0	0.1	0.190763	0.1397246	Nonadmixed Indep
0	0.1	0.26081	4.596396e-06	Nonadmixed Indep
0	0.1	0.70506	0.000306864	Nonadmixed Indep
0	0.1	0.24357	0.4567488	Nonadmixed Indep
0	0.1	0.464917	0.5092266	Nonadmixed Indep
0	0.1	0.348877	0.0156394	Nonadmixed Indep
0	0.1	0.0248575	0.001654722	Nonadmixed Indep
0	0.1	0.0110315	0.0007175389	Nonadmixed Indep
0	0.1	0.107166	0.03891675	Nonadmixed Indep
0	0.1	0.236348	0.02899337	Nonadmixed Indep
0	0.1	0.000449461	7.39227e-10	Nonadmixed Indep
0	0.1	0.381639	0.0003870676	Nonadmixed Indep
0	0.1	0.0655964	0.0006519459	Nonadmixed Indep
0	0.1	0.00156314	0.000265954	Nonadmixed Indep
0	0.1	0.11311	0.000847342	Nonadmixed Indep
0	0.1	0.574835	0.09182464	Nonadmixed Indep
0	0.1	0.0148244	0.001602539	Nonadmixed Indep
0	0.1	0.000213815	5.14695e-09	Nonadmixed Indep
0	0.1	0.00373193	7.088339e-06	Nonadmixed Indep
0	0.1	0.270969	0.003426069	Nonadmixed Indep
0	0.1	0.00321658	0.001009441	Nonadmixed Indep
0	0.1	0.0606393	5.229121e-05	Nonadmixed Indep
0	0.1	0.000140495	1.104112e-10	Nonadmixed Indep
0	0.1	0.00976258	2.486467e-05	Nonadmixed Indep
0	0.1	0.106851	0.003445894	Nonadmixed Indep
